                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1538,                0.60563,                0.97344,                0.84814,                0.77411,                0.84575,                0.48817,                 1.3509,                0.66156,                 1.0497,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.1531,                0.60993,                0.98533,                0.87515,                0.74373,                0.83579,                0.49465,                 1.3296,                0.65784,                 1.0381,               0.000614,               0.000614,               0.000614
                     37,                 1.1309,                0.61092,                0.97905,                0.87373,                0.75429,                0.83791,                0.49769,                 1.3389,                0.66348,                 1.0418,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.1362,                 0.5952,                 0.9677,                0.87339,                0.75561,                0.84131,                0.49517,                 1.3334,                0.65322,                 1.0354,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.1236,                0.60692,                0.96877,                0.87859,                0.75297,                0.84878,                0.50603,                 1.3269,                0.64842,                 1.0286,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.1329,                0.59427,                0.97396,                0.87408,                0.76108,                0.84806,                 0.5095,                 1.3188,                0.65264,                 1.0284,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.1401,                0.59185,                0.97072,                0.89338,                 0.7424,                0.84062,                0.50469,                 1.2891,                0.63373,                 1.0155,               0.000416,               0.000416,               0.000416
                     42,                 1.0871,                0.56489,                0.95529,                0.85906,                0.77015,                0.84717,                0.50171,                 1.3202,                0.65332,                 1.0266,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.0762,                0.55688,                0.95057,                0.88444,                0.75824,                0.84971,                0.50824,                  1.332,                0.64224,                 1.0392,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0638,                0.54701,                 0.9422,                0.87231,                0.77609,                0.85891,                0.51402,                 1.3299,                0.64396,                 1.0293,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.0719,                0.54752,                 0.9521,                0.89314,                0.76182,                 0.8568,                0.51251,                 1.3045,                 0.6258,                 1.0244,              0.0002576,              0.0002576,              0.0002576
                     46,                  1.029,                0.52705,                 0.9433,                0.89015,                0.75561,                0.85432,                0.51659,                 1.2951,                0.62227,                 1.0197,               0.000218,               0.000218,               0.000218
                     47,                 1.0633,                0.54546,                0.95416,                0.87481,                0.77015,                0.85591,                0.51944,                 1.3046,                0.62942,                  1.025,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.0274,                   0.52,                0.93903,                0.87434,                0.77206,                0.86023,                 0.5212,                 1.2926,                0.62218,                 1.0229,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.0241,                0.52103,                  0.949,                0.87554,                0.77128,                0.85963,                0.52226,                 1.2831,                0.61421,                 1.0186,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0064,                0.51594,                0.93137,                 0.8824,                0.77015,                0.86254,                 0.5269,                  1.284,                0.60703,                 1.0192,               5.96e-05,               5.96e-05,               5.96e-05
